team,lat,lng,expire_time
,19.461302,-99.063537,0
,19.311114,-99.18613,0
,19.311128,-99.184756,0
,19.310197,-99.186099,0
,19.588648,-99.017556,0
,19.372576,-99.1997,0
,19.373713,-99.202835,0
,19.380528,-99.208261,0
,19.365292,-99.206772,0
,19.495239,-99.185233,0
,19.493715,-99.189318,0
,19.494701,-99.188067,0
,19.492996,-99.187706,0
,19.495553,-99.186473,0
,19.49573,-99.186234,0
,19.494474,-99.187751,0
,19.494049,-99.1863,0
,19.498207,-99.184672,0
,19.464906,-99.058542,0
,19.464107,-99.058768,0
,19.502902,-99.07589,0
,19.505201,-99.074677,0
,19.503655,-99.071036,0
,19.495801,-99.068932,0
,19.319605,-99.119183,0
,19.319455,-99.119563,23:56:17
,19.320001,-99.117974,0
,19.479496,-99.075336,0
,19.481883,-99.073185,0
,19.478647,-99.075906,0
,19.479706,-99.074664,0
,19.480143,-98.882357,0
,19.371209,-99.214952,0
,19.369893,-99.217625,0
,19.336341,-99.10771,0
,19.335089,-99.109099,0
,19.336759,-99.108672,0
,19.454867,-99.147475,0
,19.4462,-99.147018,0
,19.445877,-99.152361,0
,19.44996,-99.14714,0
,19.453598,-99.151263,0
,19.458063,-99.146497,00:30:36
,19.455227,-99.155051,0
,19.446838,-99.154964,0
,19.44787,-99.156396,0
,19.457748,-99.149715,0
,19.454999,-99.146673,0
,19.455109,-99.156493,0
,19.454736,-99.147309,0
,19.454866,-99.150629,0
,19.446904,-99.151588,0
,19.453253,-99.146437,0
,19.450061,-99.146191,0
,19.446821,-99.146916,0
,19.449502,-99.149203,0
,19.453418,-99.149626,0
,19.444971,-99.153917,0
,19.4538,-99.148592,0
,19.454017,-99.145743,0
,19.45413,-99.153529,0
,19.446782,-99.155349,0
,19.456581,-99.147954,0
,19.447143,-99.152669,01:08:03
,19.448437,-99.150944,0
,19.46094,-99.146538,0
,19.4501,-99.146849,0
,19.454477,-99.150026,0
,19.453912,-99.147667,0
,19.448463,-99.14978,0
,19.454675,-99.149671,0
,19.447387,-99.150776,0
,19.450036,-99.156465,0
,19.452865,-99.15041,0
,19.444766,-99.147668,0
,19.450274,-99.151326,0
,19.455223,-99.146054,0
,19.460725,-99.146575,0
,19.448671,-99.151181,01:07:07
,19.449192,-99.156624,0
,19.44918,-99.154173,0
,19.447044,-99.156554,0
,19.447006,-99.146243,0
,19.455565,-99.147701,0
,19.454545,-99.145879,0
,19.456372,-99.145951,0
,19.44697,-99.152116,0
,19.448984,-99.150945,0
,19.445477,-99.145999,0
,19.449837,-99.151916,0
,19.454469,-99.154269,0
,19.4462,-99.150825,0
,19.449184,-99.147117,0
,19.448286,-99.148751,0
,19.444541,-99.152101,0
,19.458887,-99.146677,0
,19.446553,-99.154102,0
,19.447204,-99.150999,0
,19.453895,-99.15162,0
,19.454316,-99.146737,0
,19.441864,-99.145902,0
,19.443341,-99.147007,0
,19.450818,-99.15076,0
,19.447194,-99.152291,0
,19.44696,-99.156219,0
,19.44789,-99.151688,0
,19.45916,-99.146111,0
,19.445549,-99.147324,0
,19.445892,-99.149755,0
,19.444193,-99.153839,0
,19.44761,-99.150204,0
,19.454204,-99.155926,0
,19.450777,-99.146321,0
,19.444599,-99.154277,0
,19.448969,-99.152317,0
,19.4545,-99.147972,0
,19.259296,-99.121854,0
,19.259083,-99.123241,0
,19.258675,-99.121605,0
,19.247841,-99.118491,0
,19.264421,-99.112967,0
,19.264339,-99.115958,0
,19.248114,-99.123344,0
,19.248296,-99.121726,0
,19.265297,-99.112431,0
,19.260922,-99.121888,0
,19.264998,-99.120298,0
,19.260991,-99.120869,0
,19.263326,-99.11711,0
,19.249309,-99.122953,0
,19.251669,-99.119929,0
,19.268854,-99.120235,0
,19.266806,-99.118436,0
,19.259939,-99.121006,0
,19.264353,-99.119331,0
,19.261533,-99.113166,0
,19.260766,-99.122306,0
,19.249193,-99.120996,0
,19.263452,-99.119615,0
,19.260209,-99.12288,0
,19.266325,-99.117807,0
,19.250673,-99.121596,0
,19.262927,-99.117348,0
,19.266322,-99.117218,0
,19.24766,-99.119604,0
,19.266498,-99.115886,0
,19.260239,-99.120309,0
,19.25184,-99.120075,0
,19.263204,-99.120359,0
,19.247256,-99.118112,0
,19.265745,-99.114642,0
,19.266848,-99.119907,0
,19.261905,-99.120556,0
,19.262497,-99.114325,0
,19.264031,-99.116054,0
,19.263828,-99.11772,0
,19.247801,-99.122628,0
,19.260524,-99.120912,0
,19.260676,-99.121583,0
,19.258274,-99.122172,0
,19.252277,-99.118532,0
,19.261879,-99.121232,0
,19.261637,-99.123335,0
,19.492898,-99.172841,0
,19.487021,-99.174081,0
,19.478925,-99.169581,0
,19.493981,-99.173128,0
,19.478523,-99.173815,0
,19.489831,-99.173704,0
,19.478655,-99.174555,0
,19.49051,-99.173137,0
,19.495964,-99.171048,0
,19.492526,-99.172588,0
,19.488661,-99.173553,0
,19.490988,-99.171326,0
,19.482301,-99.17467,0
,19.249254,-99.119806,0
,19.249321,-99.118978,0
,19.249088,-99.119014,0
,19.250842,-99.119165,0
,19.250065,-99.119322,0
,19.251087,-99.119694,0
