disappear_time,name,lat,lng,id
1.469036853969312e+09,Mankey,19.420447389366583,-99.18311307691712,56
1.469037056970172e+09,Ekans,19.420622753956202,-99.18328611784254,23
1.46903720997102e+09,Sandshrew,19.421771391564832,-99.18423784959438,27
1.469036579971974e+09,Doduo,19.4217056437343,-99.18371872178666,84
1.469037114128499e+09,Machop,19.419741542896862,-99.18250743661334,66
1.469037129302849e+09,Geodude,19.41710226115052,-99.18190180087548,74
1.469036995304999e+09,Mankey,19.417764255631617,-99.18337263844502,56
1.469037133489568e+09,Sandshrew,19.414335844438433,-99.18198831998704,27
1.469036778490893e+09,Geodude,19.41433146011941,-99.1820748391918,74
1.469036761491765e+09,Machop,19.41434022871154,-99.18190180087548,66
1.469037293558403e+09,Ponyta,19.412656712475385,-99.18242091694266,77
1.469037308636903e+09,Sandshrew,19.412244580424062,-99.18510307006088,27
1.469037186638223e+09,Geodude,19.410885511522622,-99.18467045866302,74
1.469037186683694e+09,Geodude,19.410885511522622,-99.18467045866302,74
1.469037307684771e+09,Sandshrew,19.412244580424062,-99.18510307006088,27
1.469036963685274e+09,Rhyhorn,19.41220072231495,-99.18596829984394,111
1.469037413968475e+09,Geodude,19.419298708696708,-99.18397828527125,74
1.469037056970172e+09,Ekans,19.420622753956202,-99.18328611784254,23
1.469037073657171e+09,Poliwag,19.42204759702989,-99.18423784959438,60
1.469036778490893e+09,Geodude,19.41433146011941,-99.1820748391918,74
1.469037293558403e+09,Ponyta,19.412656712475385,-99.18242091694266,77
1.469036963685274e+09,Rhyhorn,19.41220072231495,-99.18596829984394,111
1.46903720997102e+09,Sandshrew,19.421771391564832,-99.18423784959438,27
1.469037348392785e+09,Ponyta,19.425528662414848,-99.18458393666295,77
1.469036853969312e+09,Mankey,19.420447389366583,-99.18311307691712,56
1.469037129302849e+09,Geodude,19.41710226115052,-99.18190180087548,74
1.469037186683694e+09,Geodude,19.410885511522622,-99.18467045866302,74
1.469036559657923e+09,Geodude,19.4228762143799,-99.18423784959438,74
1.469036579971974e+09,Doduo,19.4217056437343,-99.18371872178666,84
1.469036761491765e+09,Machop,19.41434022871154,-99.18190180087548,66
1.469037301658523e+09,Diglett,19.424257246478252,-99.18423784959438,50
1.469037357391503e+09,Sandshrew,19.42564697757987,-99.18588177644641,27
1.469037133489568e+09,Sandshrew,19.414335844438433,-99.18198831998704,27
1.4690372536546e+09,Charmander,19.4223238026541,-99.18423784959438,4
1.469037307684771e+09,Sandshrew,19.412244580424062,-99.18510307006088,27
1.469037114128499e+09,Machop,19.419741542896862,-99.18250743661334,66
1.469036995304999e+09,Mankey,19.417764255631617,-99.18337263844502,56
1.469036588534392e+09,Sandshrew,19.426646723007163,-99.18250743661334,27
1.469036819967553e+09,Growlithe,19.41938639038646,-99.18406480661912,58
1.469036934982102e+09,Machop,19.41230110376435,-99.1948807086528,66
1.469037332984735e+09,Mankey,19.412226602250893,-99.19453457725118,56
1.469036572998263e+09,Doduo,19.41048162524845,-99.19626524915536,84
1.469036600999694e+09,Sandshrew,19.410336862863623,-99.19730367017203,27
