team,lat,lng,points
2,19.51855,-99.025731,5200
3,19.513702,-99.03285,3000
1,19.517016,-99.031121,7139
2,19.509269,-99.031239,7115
1,19.480313,-99.156707,585
1,19.48858,-99.272569,14585
2,19.493636,-99.271792,4100
2,19.492243,-99.258854,2156
3,19.493226,-99.267176,2000
2,19.49064,-99.273823,2000
1,19.488897,-99.256858,6232
2,19.486555,-99.264492,2000
2,19.482736,-99.264468,6380
2,19.486328,-99.131481,3485
2,19.495599,-99.156767,4486
2,19.497667,-99.158691,10124
1,19.512286,-99.029262,2000
3,19.515388,-99.023679,4000
2,19.456986,-99.128378,6000
2,19.447135,-99.132765,10332
2,19.452456,-99.130564,2000
1,19.445699,-99.127722,4000
1,19.436794,-99.103722,6367
1,19.437715,-99.110783,18551
2,19.452148,-99.101851,2369
1,19.453335,-99.142765,6000
2,19.449785,-99.137647,4000
1,19.447455,-99.143068,4491
2,19.45297,-99.138024,4000
1,19.439848,-99.14016,4000
1,19.487658,-99.1345,20888
2,19.452894,-99.108719,12614
2,19.45139,-99.109292,10615
2,19.434331,-99.141741,6159
1,19.433708,-99.138276,5000
1,19.455636,-99.114775,8622
1,19.455602,-99.118241,11347
2,19.441219,-99.13283,4922
1,19.437008,-99.128014,15376
2,19.444229,-99.139055,4000
3,19.433784,-99.133279,3000
2,19.364262,-99.07883,2000
1,19.355678,-99.072217,7183
1,19.361481,-99.073432,2000
3,19.36048,-99.064172,6000
1,19.493513,-99.021484,12137
3,19.499834,-99.08213,4000
2,19.486796,-99.094319,6000
2,19.483865,-99.087383,18938
3,19.360177,-99.064586,3931
1,19.351709,-99.077069,5861
1,19.35261,-99.073136,6104
1,19.346908,-99.074908,6209
1,19.406344,-99.14041,4216
2,19.40105,-99.135494,1500
2,19.39773,-99.14132,6884
2,19.409193,-99.135633,6000
2,19.408828,-99.134431,6166
2,19.387147,-99.133696,6000
1,19.390493,-99.143658,10430
2,19.396218,-99.143548,2000
2,19.394949,-99.138116,10121
2,19.386745,-99.135733,4000
2,19.377958,-99.123986,20671
2,19.385855,-99.121965,2000
1,19.385486,-99.116681,9234
2,19.385225,-99.128785,5677
2,19.569567,-99.060166,2000
2,19.406492,-99.125999,4000
1,19.400906,-99.128121,2000
1,19.557154,-99.072269,9941
1,19.398052,-99.124405,5500
2,19.403866,-99.133703,6150
1,19.397799,-99.131533,6754
2,19.391265,-99.12782,21595
2,19.380012,-99.101446,2000
1,19.379284,-99.109487,2000
1,19.385286,-99.106111,2722
2,19.386492,-99.109895,6000
2,19.710945,-98.967218,1600
2,19.376876,-99.129812,9683
1,19.509586,-99.129951,2000
2,19.504107,-99.139392,3325
2,19.512527,-99.130503,1706
1,19.441267,-99.113631,10352
1,19.436031,-99.114845,10482
1,19.439754,-99.118505,8616
2,19.508363,-99.140082,2000
