team,lat,lng,points
3,19.290427,-99.171341,4170
2,19.297307,-99.181881,2559
1,19.296604,-99.185564,2500
1,19.287977,-99.174403,4762
1,19.290139,-99.167799,2147
1,19.292617,-99.179493,6662
3,19.293617,-99.185368,4000
1,19.281392,-99.180532,14805
3,19.288119,-99.180512,6401
3,19.34976,-99.223375,2000
1,19.342216,-99.225498,6307
3,19.338522,-99.240586,4000
3,19.335032,-99.235352,2000
1,19.595599,-99.25196,2000
2,19.588641,-99.262031,6201
1,19.585661,-99.258171,18933
3,19.427839,-99.251598,9356
1,19.436173,-99.253535,4226
1,19.4249,-99.258304,2000
1,19.437246,-99.271548,11293
2,19.439355,-99.247497,2000
2,19.429291,-99.25062,6951
2,19.441349,-99.245705,6000
1,19.430521,-99.288123,5100
1,19.409487,-99.266014,4000
1,19.459283,-99.238358,4000
2,19.456982,-99.235491,4000
1,19.460848,-99.27834,4000
2,19.405037,-99.241066,2000
2,19.416197,-99.241914,2000
1,19.41866,-99.237511,2000
1,19.413337,-99.24361,10301
2,19.451614,-99.280387,6955
2,19.430191,-99.231251,4000
2,19.43714,-99.22982,6337
3,19.428848,-99.228206,2000
1,19.465287,-99.277063,1500
1,19.467477,-99.257646,5623
1,19.466064,-99.26609,8977
2,19.47378,-99.252741,2000
1,19.472765,-99.26112,2000
2,19.425486,-99.229788,5000
1,19.467864,-99.255743,4000
1,19.459708,-99.284324,11284
2,19.460711,-99.283223,6180
2,19.465559,-99.268753,6293
1,19.472305,-99.236175,5200
1,19.470214,-99.249679,7107
2,19.433339,-99.220599,16884
2,19.46505,-99.280658,5000
2,19.437779,-99.220319,10050
2,19.40483,-99.25742,6000
3,19.392344,-99.264912,4000
2,19.402135,-99.263982,2000
3,19.473024,-99.28791,4375
2,19.470522,-99.272779,5500
2,19.468898,-99.276678,10300
1,19.488897,-99.256858,6000
1,19.486555,-99.264492,6000
2,19.477115,-99.270967,6853
2,19.482736,-99.264468,12448
2,19.486657,-99.246811,5572
2,19.485844,-99.24868,2000
1,19.479098,-99.251523,10156
1,19.482047,-99.245293,3000
1,19.479032,-99.239266,6111
2,19.479018,-99.232018,7825
1,19.486818,-99.238377,2000
2,19.485656,-99.233419,7559
1,19.470797,-99.227706,6000
1,19.472464,-99.221723,6000
1,19.475589,-99.230138,6000
1,19.463881,-99.232203,6000
2,19.45947,-99.232827,15607
1,19.466641,-99.225417,3500
2,19.456969,-99.230206,2000
2,19.456174,-99.220304,5000
1,19.460565,-99.215437,6000
